Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
LM11900361972244AAA04,,1972-08-31T00:00:00Z,1972-08-31T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900361972244AAA04,http://earthexplorer.usgs.gov/browse/mss/190/36/1972/LM1190036007224490.jpg,,DAY,
LM11900351972244AAA02,,1972-08-31T07:57:59Z,1972-08-31T07:58:28Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900351972244AAA02,http://earthexplorer.usgs.gov/browse/mss/190/35/1972/119003500722449002.jpg,,DAY,
LM11900371972244AAA02,,1972-08-31T07:58:49Z,1972-08-31T07:59:18Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900371972244AAA02,http://earthexplorer.usgs.gov/browse/mss/190/37/1972/119003700722449002.jpg,,DAY,
LM11880361972278AAA05,,1972-10-04T00:00:00Z,1972-10-04T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880361972278AAA05,http://earthexplorer.usgs.gov/browse/mss/188/36/1972/LM1188036007227890.jpg,,DAY,
LM11880371972278AAA05,,1972-10-04T00:00:00Z,1972-10-04T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880371972278AAA05,http://earthexplorer.usgs.gov/browse/mss/188/37/1972/LM1188037007227890.jpg,,DAY,
LM11880351972278AAA05,,1972-10-04T00:00:00Z,1972-10-04T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880351972278AAA05,http://earthexplorer.usgs.gov/browse/mss/188/35/1972/LM1188035007227890.jpg,,DAY,
LM11900361972280AAA04,,1972-10-06T00:00:00Z,1972-10-06T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900361972280AAA04,http://earthexplorer.usgs.gov/browse/mss/190/36/1972/LM1190036007228090.jpg,,DAY,
LM11900351972280AAA02,,1972-10-06T07:58:07Z,1972-10-06T07:58:35Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900351972280AAA02,http://earthexplorer.usgs.gov/browse/mss/190/35/1972/119003500722809002.jpg,,DAY,
LM11900371972280AAA02,,1972-10-06T07:58:56Z,1972-10-06T07:59:25Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11900371972280AAA02,http://earthexplorer.usgs.gov/browse/mss/190/37/1972/119003700722809002.jpg,,DAY,
LM11880351972296AAA05,,1972-10-22T00:00:00Z,1972-10-22T23:59:59Z,http://earthexplorer.usgs.gov/order/process?node=EC&dataset_name=LANDSAT_MSS&ordered=LM11880351972296AAA05,http://earthexplorer.usgs.gov/browse/mss/188/35/1972/LM1188035007229690.jpg,,DAY,
