"","sensor","acquisitionDate","path","row","sceneCenterLatitude","sceneCenterLongitude","cloudCover","cloudCoverFull","year","doy","browseURL"
"1","TM",1984-04-13 07:49:35,176,36,"34.6134 33.112507","34.6134 33.112507",0,4,"1984",104,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/04/13/LS05_RFUI_TM__GTC_1P_19840413T074935_19840413T075004_000624_0176_0036_1A77.ZIP"
"2","TM",1984-04-29 07:49:32,176,36,"34.610847 33.19754","34.610847 33.19754",0,4,"1984",120,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/04/29/LS05_RFUI_TM__GTC_1P_19840429T074932_19840429T075001_000857_0176_0036_D00F.ZIP"
"3","TM",1984-05-15 07:50:01,176,36,"34.613373 33.14504","34.613373 33.14504",0,1,"1984",136,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/05/15/LS05_RFUI_TM__GTC_1P_19840515T075001_19840515T075030_001090_0176_0036_0768.ZIP"
"4","TM",1984-05-31 07:50:27,176,36,"34.613373 33.105038","34.613373 33.105038",0,0,"1984",152,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/05/31/LS05_RFUI_TM__GTC_1P_19840531T075027_19840531T075055_001323_0176_0036_A174.ZIP"
"5","TM",1984-06-16 07:50:44,176,36,"34.613373 33.09504","34.613373 33.09504",0,0,"1984",168,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/06/16/LS05_RFUI_TM__GTC_1P_19840616T075044_19840616T075113_001556_0176_0036_D38B.ZIP"
"6","TM",1984-07-02 07:50:56,176,36,"34.613346 33.107506","34.613346 33.107506",0,0,"1984",184,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/07/02/LS05_RFUI_TM__GTC_1P_19840702T075056_19840702T075125_001789_0176_0036_1853.ZIP"
"7","TM",1984-07-18 07:51:14,176,36,"34.613373 33.09504","34.613373 33.09504",0,0,"1984",200,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/07/18/LS05_RFUI_TM__GTC_1P_19840718T075114_19840718T075142_002022_0176_0036_AF1E.ZIP"
"8","TM",1984-08-03 07:51:48,176,36,"34.6159 33.01247","34.6159 33.01247",0,0,"1984",216,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/08/03/LS05_RFUI_TM__GTC_1P_19840803T075148_19840803T075216_002255_0176_0036_0431.ZIP"
"9","TM",1984-08-19 07:52:19,176,36,"34.610874 32.93493","34.610874 32.93493",0,1,"1984",232,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/08/19/LS05_RFUI_TM__GTC_1P_19840819T075219_19840819T075248_002488_0176_0036_1052.ZIP"
"10","TM",1984-09-04 07:52:30,176,36,"34.61087 32.944927","34.61087 32.944927",0,1,"1984",248,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/09/04/LS05_RFUI_TM__GTC_1P_19840904T075230_19840904T075258_002721_0176_0036_54A4.ZIP"
"11","TM",1984-09-20 07:52:32,176,36,"34.61587 32.98","34.61587 32.98",0,0,"1984",264,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/09/20/LS05_RFUI_TM__GTC_1P_19840920T075232_19840920T075301_002954_0176_0036_46B3.ZIP"
"12","TM",1984-10-06 07:52:32,176,36,"34.615875 33.025","34.615875 33.025",0,0,"1984",280,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/10/06/LS05_RFUI_TM__GTC_1P_19841006T075232_19841006T075300_003187_0176_0036_FE9A.ZIP"
"13","TM",1984-10-22 07:52:28,176,36,"34.613346 33.077507","34.613346 33.077507",0,0,"1984",296,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/10/22/LS05_RFUI_TM__GTC_1P_19841022T075228_19841022T075256_003420_0176_0036_D723.ZIP"
"14","TM",1984-11-07 07:52:20,176,36,"34.613396 33.14251","34.613396 33.14251",0,6,"1984",312,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/11/07/LS05_RFUI_TM__GTC_1P_19841107T075220_19841107T075249_003653_0176_0036_02F5.ZIP"
"15","TM",1984-11-23 07:52:18,176,36,"34.61085 33.18254","34.61085 33.18254",4,42,"1984",328,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/11/23/LS05_RFUI_TM__GTC_1P_19841123T075218_19841123T075246_003886_0176_0036_59A7.ZIP"
"16","TM",1984-12-09 07:52:26,176,36,"34.61335 33.167507","34.61335 33.167507",1,16,"1984",344,"http://landsat-ds.eo.esa.int/products/LANDSAT/1984/12/09/LS05_RFUI_TM__GTC_1P_19841209T075226_19841209T075255_004119_0176_0036_378C.ZIP"
"17","TM",1985-01-10 07:52:43,176,36,"34.613373 33.135036","34.613373 33.135036",3,37,"1985",10,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/01/10/LS05_RFUI_TM__GTC_1P_19850110T075243_19850110T075312_004585_0176_0036_D0AE.ZIP"
"18","TM",1985-01-26 07:52:48,176,36,"34.613373 33.12504","34.613373 33.12504",4,42,"1985",26,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/01/26/LS05_RFUI_TM__GTC_1P_19850126T075248_19850126T075317_004818_0176_0036_7132.ZIP"
"19","TM",1985-02-11 07:52:51,176,36,"34.613346 33.117508","34.613346 33.117508",0,2,"1985",42,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/02/11/LS05_RFUI_TM__GTC_1P_19850211T075251_19850211T075319_005051_0176_0036_1ACA.ZIP"
"20","TM",1985-02-27 07:52:51,176,36,"34.613346 33.117508","34.613346 33.117508",0,8,"1985",58,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/02/27/LS05_RFUI_TM__GTC_1P_19850227T075251_19850227T075320_005284_0176_0036_C907.ZIP"
"21","TM",1985-03-15 07:52:50,176,36,"34.613346 33.117508","34.613346 33.117508",0,0,"1985",74,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/03/15/LS05_RFUI_TM__GTC_1P_19850315T075250_19850315T075319_005517_0176_0036_3F16.ZIP"
"22","TM",1985-03-31 07:52:47,176,36,"34.613373 33.115036","34.613373 33.115036",9,90,"1985",90,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/03/31/LS05_RFUI_TM__GTC_1P_19850331T075247_19850331T075316_005750_0176_0036_E48C.ZIP"
"23","TM",1985-04-16 07:52:43,176,36,"34.613373 33.12504","34.613373 33.12504",0,0,"1985",106,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/04/16/LS05_RFUI_TM__GTC_1P_19850416T075243_19850416T075311_005983_0176_0036_24C1.ZIP"
"24","TM",1985-05-02 07:52:35,176,36,"34.613373 33.135036","34.613373 33.135036",0,4,"1985",122,"http://landsat-ds.eo.esa.int/products/LANDSAT/1985/05/02/LS05_RFUI_TM__GTC_1P_19850502T075235_19850502T075304_006216_0176_0036_5158.ZIP"
