browseAvailable,browseURL,sceneID,sensor,acquisitionDate,dateUpdated,path,row,upperLeftCornerLatitude,upperLeftCornerLongitude,upperRightCornerLatitude,upperRightCornerLongitude,lowerLeftCornerLatitude,lowerLeftCornerLongitude,lowerRightCornerLatitude,lowerRightCornerLongitude,sceneCenterLatitude,sceneCenterLongitude,cloudCover,cloudCoverFull,FULL_UL_QUAD_CCA,FULL_UR_QUAD_CCA,FULL_LL_QUAD_CCA,FULL_LR_QUAD_CCA,dayOrNight,sunElevation,sunAzimuth,sceneStartTime,sceneStopTime,satelliteNumber,DATA_TYPE_L1,cartURL,DATA_TYPE_L0RP,DATUM,ELEVATION_SOURCE,ELLIPSOID,EPHEMERIS_TYPE,FALSE_EASTING,FALSE_NORTHING,GROUND_CONTROL_POINTS_MODEL,GROUND_CONTROL_POINTS_VERIFY,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,GEOMETRIC_RMSE_VERIFY,GRID_CELL_SIZE_REFLECTIVE,MAP_PROJECTION_L1,MAP_PROJECTION_L0RA,ORIENTATION,OUTPUT_FORMAT,L1_AVAILABLE,REFLECTIVE_LINES,REFLECTIVE_SAMPLES,RESAMPLING_OPTION,TRUE_SCALE_LAT,UTM_ZONE,VERTICAL_LON_FROM_POLE,PRESENT_BAND_1,PRESENT_BAND_2,PRESENT_BAND_3,PRESENT_BAND_4,PRESENT_BAND_5,PRESENT_BAND_6,PRESENT_BAND_7,PRESENT_BAND_8,PROCESSING_SOFTWARE_VERSION,CPF_NAME,IMAGE_QUALITY,GROUND_CONTROL_POINTS_VERSION,DATE_L1_GENERATED
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1980/LM31760361980350AAA03.jpg,LM31760361980350AAA03,LANDSAT_MSS,1980-12-15,2016-05-06,176,36,35.34933,51.63247,35.02678,53.62526,33.86213,51.19081,33.54511,53.15012,34.45,52.4,0,1,,,,,DAY,24,147,,,LANDSAT_3,PR,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM31760361980350AAA03,MSSP_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,200,1054,23.980,11.404,21.095,.608,60,UTM,HOM,NORTH_UP,GEOTIFF,W,3409,3919,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.6.1,LM3CPF19780424_19830331.09,9,,
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1980/LM31760361980332AAA04.jpg,LM31760361980332AAA04,LANDSAT_MSS,1980-11-27,2016-05-06,176,36,35.36603,51.61569,35.04341,53.60886,33.87884,51.1739,33.56175,53.13357,34.46667,52.38334,0,1,,,,,DAY,27,147,,,LANDSAT_3,PR,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM31760361980332AAA04,MSSP_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,247,1276,23.997,12.89,20.241,.651,60,UTM,HOM,NORTH_UP,GEOTIFF,W,3409,3919,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM3CPF19780424_19830331.09,9,,
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1979/217603600792029001.jpg,LM21760361979202XXX01,LANDSAT_MSS,1979-07-21,2014-06-06,176,36,35.44397,51.55301,35.11814,53.54935,33.83715,51.06879,33.51753,53.0286,34.48333,52.3,0,2,,,,,DAY,56,105,1979:202:06:20:23.699,1979:202:06:20:52.330,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361979202XXX01,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,425,1341,21.162,15.926,13.935,.28,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3668,4133,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,7,,2014-06-07 01:22:35
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1979/LM21760361979184AAA03.jpg,LM21760361979184AAA03,LANDSAT_MSS,1979-07-03,2014-06-06,176,36,35.41735,51.45078,35.09128,53.44433,33.93092,51.00509,33.61044,52.96512,34.51667,52.21667,0,2,,,,,DAY,58,102,,,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361979184AAA03,MSSP_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,396,1665,16.461,10.567,12.621,.627,60,UTM,HOM,NORTH_UP,GEOTIFF,Y,3409,3919,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,7,,2014-06-06 18:44:36
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1979/217603600791669006.jpg,LM21760361979166AAA06,LANDSAT_MSS,1979-06-15,2014-06-06,176,36,35.44397,51.48634,35.11814,53.48269,33.83715,51.00212,33.51753,52.96193,34.48333,52.23333,0,2,,,,,DAY,59,102,1979:166:06:19:37.590,1979:166:06:20:06.080,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361979166AAA06,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,446,1353,17.534,14.486,9.879,.232,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3669,4167,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,9,,2014-06-06 00:12:26
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1978/217603600782619002.jpg,LM21760361978261AAA02,LANDSAT_MSS,1978-09-18,2014-06-03,176,36,35.44397,51.65301,35.11814,53.64935,33.83715,51.16879,33.51753,53.1286,34.48333,52.4,0,3,,,,,DAY,44,128,1978:261:06:09:11.189,1978:261:06:09:39.680,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361978261AAA02,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,432,949,27.186,20.41,17.959,.414,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3666,4172,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,3,,2014-06-03 05:31:17
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1978/217603600781899002.jpg,LM21760361978189AAA02,LANDSAT_MSS,1978-07-08,2014-05-29,176,36,35.44397,51.66967,35.11814,53.66602,33.83715,51.18546,33.51753,53.14527,34.48333,52.41667,0,1,,,,,DAY,55,100,1978:189:06:05:36.819,1978:189:06:06:05.449,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361978189AAA02,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,420,1051,25.207,16.651,18.924,.334,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3668,4143,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,5,,2014-05-29 19:53:16
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1978/217603600781719002.jpg,LM21760361978171AAA02,LANDSAT_MSS,1978-06-20,2014-05-29,176,36,35.44397,51.65301,35.11814,53.64935,33.83715,51.16879,33.51753,53.1286,34.48333,52.4,0,7,,,,,DAY,56,99,1978:171:06:04:44.699,1978:171:06:05:13.340,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361978171AAA02,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,247,713,21.349,17.464,12.279,.285,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3669,4133,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,7,,2014-05-29 15:58:08
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1978/217603600781179002.jpg,LM21760361978117AAA02,LANDSAT_MSS,1978-04-27,2014-05-28,176,36,35.42728,51.58646,35.10152,53.58241,33.82045,51.10238,33.50089,53.06182,34.46667,52.33333,0,4,,,,,DAY,51,113,1978:117:06:02:14.489,1978:117:06:02:43.129,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361978117AAA02,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,420,1052,20.713,16.542,12.466,.276,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3669,4187,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,4,,2014-05-28 01:15:57
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1978/217603600780819002.jpg,LM21760361978081AAA02,LANDSAT_MSS,1978-03-22,2015-04-16,176,36,35.42728,51.60313,35.10152,53.59908,33.82045,51.11905,33.50089,53.07849,34.46667,52.35,3,39,,,,,DAY,40,124,1978:081:06:00:13.379,1978:081:06:00:42.010,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361978081AAA02,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,150,362,22.324,17.816,13.451,.287,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3669,4172,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.6.1,LM2CPF19750101_19820228.09,7,,2015-04-17 02:31:57
