browseAvailable,browseURL,sceneID,sensor,acquisitionDate,dateUpdated,path,row,upperLeftCornerLatitude,upperLeftCornerLongitude,upperRightCornerLatitude,upperRightCornerLongitude,lowerLeftCornerLatitude,lowerLeftCornerLongitude,lowerRightCornerLatitude,lowerRightCornerLongitude,sceneCenterLatitude,sceneCenterLongitude,cloudCover,cloudCoverFull,FULL_UL_QUAD_CCA,FULL_UR_QUAD_CCA,FULL_LL_QUAD_CCA,FULL_LR_QUAD_CCA,dayOrNight,sunElevation,sunAzimuth,sceneStartTime,sceneStopTime,satelliteNumber,DATA_TYPE_L1,cartURL,DATA_TYPE_L0RP,DATUM,ELEVATION_SOURCE,ELLIPSOID,EPHEMERIS_TYPE,FALSE_EASTING,FALSE_NORTHING,GROUND_CONTROL_POINTS_MODEL,GROUND_CONTROL_POINTS_VERIFY,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,GEOMETRIC_RMSE_VERIFY,GRID_CELL_SIZE_REFLECTIVE,MAP_PROJECTION_L1,MAP_PROJECTION_L0RA,ORIENTATION,OUTPUT_FORMAT,L1_AVAILABLE,REFLECTIVE_LINES,REFLECTIVE_SAMPLES,RESAMPLING_OPTION,TRUE_SCALE_LAT,UTM_ZONE,VERTICAL_LON_FROM_POLE,PRESENT_BAND_1,PRESENT_BAND_2,PRESENT_BAND_3,PRESENT_BAND_4,PRESENT_BAND_5,PRESENT_BAND_6,PRESENT_BAND_7,PRESENT_BAND_8,PROCESSING_SOFTWARE_VERSION,CPF_NAME,IMAGE_QUALITY,GROUND_CONTROL_POINTS_VERSION,DATE_L1_GENERATED
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987288AAA03.jpg,LM51760361987288AAA03,LANDSAT_MSS,1987-10-15,2014-08-31,176,36,35.6246,32.40711,35.33253,34.414,33.86633,31.93125,33.5802,33.89781,34.60517,33.1623,0,0,,,,,DAY,40,145,1987:288:07:49:05.2800,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987288AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,409,554,22.510,17.194,14.528,.324,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3467,3902,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.4.1,LM5CPF19841109_19940428.05,9,,2014-08-31 07:03:39
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987272AAA03.jpg,LM51760361987272AAA03,LANDSAT_MSS,1987-09-29,2014-08-30,176,36,35.62558,32.40037,35.33351,34.40729,33.86731,31.9245,33.58118,33.89109,34.60615,33.15557,0,0,,,,,DAY,45,139,1987:272:07:49:03.4798,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987272AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,421,568,23.060,18.275,14.064,.328,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3469,3902,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.4.1,LM5CPF19841109_19940428.05,9,,2014-08-31 01:20:19
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987256AAA05.jpg,LM51760361987256AAA05,LANDSAT_MSS,1987-09-13,2014-08-30,176,36,35.62549,32.40098,35.33342,34.4079,33.86722,31.92511,33.58109,33.8917,34.60606,33.15618,0,1,,,,,DAY,49,132,1987:256:07:49:01.3598,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987256AAA05,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,365,528,23.824,18.179,15.398,.337,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3469,3902,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.4.1,LM5CPF19841109_19940428.05,9,,2014-08-30 21:53:00
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987240AAA03.jpg,LM51760361987240AAA03,LANDSAT_MSS,1987-08-28,2014-08-29,176,36,35.6245,32.40772,35.33243,34.41461,33.86623,31.93186,33.5801,33.89842,34.60507,33.16291,0,0,,,,,DAY,53,124,1987:240:07:48:04.9600,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987240AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,382,488,24.442,18.138,16.383,.35,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3467,3902,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.4.1,LM5CPF19841109_19940428.05,9,,2014-08-29 17:17:42
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987224AAA03.jpg,LM51760361987224AAA03,LANDSAT_MSS,1987-08-12,2014-08-29,176,36,35.62254,32.42119,35.33048,34.42804,33.86426,31.94535,33.57815,33.91187,34.60311,33.17637,0,0,,,,,DAY,56,117,1987:224:07:48:02.2698,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987224AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,360,477,27.220,19.706,18.778,.411,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3467,3902,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.4.1,LM5CPF19841109_19940428.05,9,,2014-08-29 12:04:49
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987208AAA03.jpg,LM51760361987208AAA03,LANDSAT_MSS,1987-07-27,2014-08-29,176,36,35.61959,32.44141,35.32753,34.44818,33.86131,31.96558,33.5752,33.93204,34.60016,33.19656,0,0,,,,,DAY,58,110,1987:208:07:47:05.2998,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987208AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,333,375,27.703,19.4,19.776,.404,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3467,3903,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.4.1,LM5CPF19841109_19940428.05,9,,2014-08-29 07:59:13
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987192AAA03.jpg,LM51760361987192AAA03,LANDSAT_MSS,1987-07-11,2014-08-28,176,36,35.62165,32.42732,35.32959,34.43414,33.86337,31.95148,33.57726,33.91798,34.60222,33.18249,0,0,,,,,DAY,59,106,1987:192:07:47:03.0898,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987192AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,328,351,31.703,22.043,22.786,.438,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3469,3902,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.4.1,LM5CPF19841109_19940428.05,9,,2014-08-29 04:00:14
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987176AAA03.jpg,LM51760361987176AAA03,LANDSAT_MSS,1987-06-25,2014-10-21,176,36,35.62594,32.39792,35.33387,34.40484,33.86767,31.92204,33.58154,33.88864,34.60651,33.15312,0,0,,,,,DAY,61,104,1987:176:07:47:01.1998,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987176AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,288,275,30.417,19.692,23.182,.424,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3467,3902,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.5.0,LM5CPF19841109_19940428.05,9,,2014-10-21 17:06:17
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987160AAA03.jpg,LM51760361987160AAA03,LANDSAT_MSS,1987-06-09,2015-01-05,176,36,35.62933,32.37463,35.33724,34.38164,33.87106,31.89873,33.58492,33.8654,34.60989,33.12986,0,0,,,,,DAY,61,106,1987:160:07:46:05.1198,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987160AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,337,322,30.391,19.961,22.916,.423,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3467,3903,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.5.0,LM5CPF19841109_19940428.05,7,,2015-01-05 13:11:09
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1987/LM51760361987144AAA03.jpg,LM51760361987144AAA03,LANDSAT_MSS,1987-05-24,2014-08-27,176,36,35.63147,32.35993,35.33938,34.36699,33.8732,31.88401,33.58705,33.85073,34.61203,33.11517,0,2,,,,,DAY,60,110,1987:144:07:46:02.8198,,LANDSAT_5,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM51760361987144AAA03,MSSA_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,179,136,29.858,22.692,19.406,.364,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3467,3902,CUBIC_CONVOLUTION,,36,,Y,Y,Y,Y,N,N,N,N,LPGS_12.4.1,LM5CPF19841109_19940428.05,9,,2014-08-27 13:58:16
