browseAvailable,browseURL,sceneID,sensor,acquisitionDate,dateUpdated,path,row,upperLeftCornerLatitude,upperLeftCornerLongitude,upperRightCornerLatitude,upperRightCornerLongitude,lowerLeftCornerLatitude,lowerLeftCornerLongitude,lowerRightCornerLatitude,lowerRightCornerLongitude,sceneCenterLatitude,sceneCenterLongitude,cloudCover,cloudCoverFull,FULL_UL_QUAD_CCA,FULL_UR_QUAD_CCA,FULL_LL_QUAD_CCA,FULL_LR_QUAD_CCA,dayOrNight,flightPath,sunElevation,sunAzimuth,receivingStation,sceneStartTime,sceneStopTime,imageQuality1,imageQuality2,gainBand1,gainBand2,gainBand3,gainBand4,gainBand5,gainBand6H,gainBand6L,gainBand7,gainBand8,gainChangeBand1,gainChangeBand2,gainChangeBand3,gainChangeBand4,gainChangeBand5,gainChangeBand6H,gainChangeBand6L,gainChangeBand7,gainChangeBand8,DATA_TYPE_L1,cartURL,DATE_ACQUIRED_GAP_FILL,DATUM,ELEVATION_SOURCE,ELLIPSOID,EPHEMERIS_TYPE,FALSE_EASTING,FALSE_NORTHING,GAP_FILL,GROUND_CONTROL_POINTS_MODEL,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,GRID_CELL_SIZE_PANCHROMATIC,GRID_CELL_SIZE_REFLECTIVE,GRID_CELL_SIZE_THERMAL,MAP_PROJECTION_L1,ORIENTATION,OUTPUT_FORMAT,PANCHROMATIC_LINES,PANCHROMATIC_SAMPLES,L1_AVAILABLE,REFLECTIVE_LINES,REFLECTIVE_SAMPLES,RESAMPLING_OPTION,SCAN_GAP_INTERPOLATION,THERMAL_LINES,THERMAL_SAMPLES,TRUE_SCALE_LAT,UTM_ZONE,VERTICAL_LON_FROM_POLE,PROCESSING_SOFTWARE_VERSION,CPF_NAME,GROUND_CONTROL_POINTS_VERSION,DATE_L1_GENERATED
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016200SG100.jpg,LE71760362016200SG100,LANDSAT_ETM_SLC_OFF,2016-07-18,2016-07-19,176,36,35.55306,32.31754,35.25206,34.39081,33.94585,31.88446,33.65058,33.91861,34.60616,33.12789,0,   0.26,   0.21,   0.07,   0.40,   0.37,DAY,DAY,66.20199585,119.31118011,SG1,2016:200:08:25:01.0944999,2016:200:08:25:27.8485000,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016200SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,50,4.719,3.355,3.319,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16261,Y,7111,8131,CUBIC_CONVOLUTION,2,7111,8131,,36,,LPGS_12.7.0,L7CPF20160701_20160930.02,4,2016-07-18 16:55:10
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016168SG100.jpg,LE71760362016168SG100,LANDSAT_ETM_SLC_OFF,2016-06-16,2016-07-11,176,36,35.55277,32.30087,35.25187,34.37352,33.94543,31.86789,33.6502,33.90145,34.60603,33.11136,0,   0.11,   0.31,   0.03,   0.02,   0.08,DAY,DAY,68.68339539,116.28158569,SG1,2016:168:08:24:59.8927500,2016:168:08:25:26.6467499,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016168SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,51,4.471,3.056,3.264,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16261,Y,7111,8131,CUBIC_CONVOLUTION,2,7111,8131,,36,,LPGS_12.7.0,L7CPF20160401_20160630.06,4,2016-07-11 09:53:24
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016152SG100.jpg,LE71760362016152SG100,LANDSAT_ETM_SLC_OFF,2016-05-31,2016-06-25,176,36,35.5538,32.30262,35.2529,34.37468,33.94611,31.86952,33.65094,33.9025,34.60608,33.11276,0,   0.00,   0.00,   0.00,   0.00,   0.00,DAY,DAY,68.37236023,120.3719101,SG1,2016:152:08:24:56.3311874,2016:152:08:25:23.0852500,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016152SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,75,4.45,2.997,3.29,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16241,Y,7111,8121,CUBIC_CONVOLUTION,2,7111,8121,,36,,LPGS_12.7.0,L7CPF20160401_20160630.05,4,2016-06-25 09:50:53
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016120SG100.jpg,LE71760362016120SG100,LANDSAT_ETM_SLC_OFF,2016-04-29,2016-05-24,176,36,35.556,32.30483,35.25508,34.37669,33.94835,31.87078,33.65321,33.90354,34.60585,33.11341,0,   0.02,   0.04,   0.05,   0.00,   0.01,DAY,DAY,63.12733841,133.00160217,SG1,2016:120:08:24:48.3454999,2016:120:08:25:15.0994999,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016120SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,80,4.669,3.137,3.458,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16241,Y,7141,8121,CUBIC_CONVOLUTION,2,7141,8121,,36,,LPGS_12.7.0,L7CPF20160401_20160630.03,4,2016-05-24 09:54:24
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016104SG100.jpg,LE71760362016104SG100,LANDSAT_ETM_SLC_OFF,2016-04-13,2016-05-08,176,36,35.55313,32.31315,35.25202,34.3856,33.94577,31.87907,33.65041,33.9124,34.60563,33.12296,2,  23.84,  27.49,  31.00,   5.74,  31.14,DAY,DAY,58.31000137,138.21231079,SG1,2016:104:08:24:41.6902500,2016:104:08:25:08.4441875,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016104SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,24,4.3,2.908,3.168,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16261,Y,7111,8131,CUBIC_CONVOLUTION,2,7111,8131,,36,,LPGS_12.7.0,L7CPF20160401_20160630.02,4,2016-05-08 10:48:01
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016088SG100.jpg,LE71760362016088SG100,LANDSAT_ETM_SLC_OFF,2016-03-28,2016-04-22,176,36,35.55478,32.31406,35.25345,34.38701,33.94777,31.88073,33.65227,33.91459,34.60562,33.12399,2,  29.76,  35.72,  48.84,  18.41,  16.06,DAY,DAY,52.57958984,142.17340088,SG1,2016:088:08:24:35.9534374,2016:088:08:25:02.7074999,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016088SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,53,4.097,2.409,3.314,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16241,Y,7131,8121,CUBIC_CONVOLUTION,2,7131,8121,,36,,LPGS_12.7.0,L7CPF20160101_20160331.09,3,2016-04-22 09:44:52
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016072SG100.jpg,LE71760362016072SG100,LANDSAT_ETM_SLC_OFF,2016-03-12,2016-04-07,176,36,35.55325,32.30937,35.25187,34.38258,33.94593,31.87484,33.65034,33.90895,34.60524,33.11917,0,   0.65,   1.54,   1.01,   0.05,   0.01,DAY,DAY,46.48994827,145.31156921,SG1,2016:072:08:24:30.9223124,2016:072:08:24:57.6764374,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016072SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,187,3.766,2.47,2.843,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16261,Y,7111,8131,CUBIC_CONVOLUTION,2,7111,8131,,36,,LPGS_12.7.0,L7CPF20160101_20160331.08,3,2016-04-07 10:10:28
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016056SG100.jpg,LE71760362016056SG100,LANDSAT_ETM_SLC_OFF,2016-02-25,2016-03-22,176,36,35.55403,32.32506,35.25251,34.39796,33.94681,31.89099,33.65113,33.92483,34.60485,33.13438,2,  22.48,  23.63,  23.76,  21.00,  21.54,DAY,DAY,40.60202789,148.08059692,SG1,2016:056:08:24:20.0349999,2016:056:08:24:46.7890000,9,9,L,L,L,H,L,H,L,L,L,LL,LL,LL,HH,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016056SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,178,3.439,2.118,2.709,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16241,Y,7141,8121,CUBIC_CONVOLUTION,2,7141,8121,,36,,LPGS_12.7.0,L7CPF20160101_20160331.06,3,2016-03-22 09:56:24
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016040SG100.jpg,LE71760362016040SG100,LANDSAT_ETM_SLC_OFF,2016-02-09,2016-03-06,176,36,35.55187,32.29849,35.25046,34.37059,33.94442,31.86404,33.64872,33.89706,34.60471,33.10812,5,  51.14,  21.63,  31.52,  67.38,  84.00,DAY,DAY,35.45670319,150.776474,SG1,2016:040:08:24:18.1228749,2016:040:08:24:44.8769375,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016040SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,124,3.272,1.831,2.712,15,30,30,UTM,NORTH_UP,GEOTIFF,14241,16261,Y,7121,8131,CUBIC_CONVOLUTION,2,7121,8131,,36,,LPGS_12.7.0,L7CPF20160101_20160331.05,3,2016-03-06 10:43:17
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016024SG100.jpg,LE71760362016024SG100,LANDSAT_ETM_SLC_OFF,2016-01-24,2016-02-19,176,36,35.55054,32.28798,35.24902,34.35973,33.9435,31.85418,33.64783,33.88689,34.6041,33.098,7,  72.06,  76.33,  71.51,  60.15,  80.26,DAY,DAY,31.54094124,153.48989868,SG1,2016:024:08:24:10.9934375,2016:024:08:24:37.7474374,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016024SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,32,4.432,3.067,3.199,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16261,Y,7111,8131,CUBIC_CONVOLUTION,2,7111,8131,,36,,LPGS_12.7.0,L7CPF20160101_20160331.05,3,2016-02-19 11:31:37
