"","x"
"1","LM31760361980350AAA03"
"2","LM31760361980332AAA04"
"3","LM21760361979202XXX01"
"4","LM21760361979184AAA03"
"5","LM21760361979166AAA06"
"6","LM21760361978261AAA02"
"7","LM21760361978189AAA02"
"8","LM21760361978171AAA02"
"9","LM21760361978117AAA02"
"10","LM21760361978081AAA02"
"11","LM21760361978063AAA04"
"12","LM21760361977212AAA02"
"13","LM21760361977194GMD02"
"14","LM21760361977158AAA02"
"15","LM21760361977140GMD02"
"16","LM21760361977122XXX03"
"17","LM21760361977068FAK03"
"18","LM21760361976344AAA02"
"19","LM21760361976326AAA05"
"20","LM21760361976308FAK03"
"21","LM21760361976254GDS03"
"22","LM21760361976236GDS07"
"23","LM21760361976182GDS05"
"24","LM21760361976164GDS07"
"25","LM21760361976146AAA05"
"26","LM21760361976056AAA02"
"27","LM21760361975277AAA05"
"28","LM21760361975169GMD04"
"29","LM21760361975061FAK03"
"30","LM11760361973026XXX01"
"31","LM11760361973008AAA04"
"32","LM11760361972356AAA02"
"33","LM11760361972338AAA04"
"34","LM11760361972266FAK03"
"35","LM11760361972248AAA04"
"36","LT51760362011306MOR00"
"37","LT51760362011290MOR00"
"38","LT51760362011274MOR00"
"39","LT51760362011242MOR01"
"40","LT51760362011210MOR01"
"41","LT51760362011194MOR00"
"42","LT51760362011114MOR00"
"43","LT51760362011098MOR00"
"44","LT51760362011066MOR00"
"45","LT51760362011050MOR00"
"46","LT51760362011034MOR00"
"47","LT51760362011018MOR00"
"48","LT51760362011002MOR00"
"49","LT51760362010319MOR00"
"50","LT51760362010303MOR00"
"51","LT51760362010287MOR00"
"52","LT51760362010271MOR00"
"53","LT51760362010239MOR00"
"54","LT51760362010191MOR00"
"55","LT51760362010175MOR00"
"56","LT51760362010127MOR00"
"57","LT51760362010111MOR00"
"58","LT51760362010095MOR00"
"59","LT51760362010063MOR00"
"60","LT51760362010047MOR00"
"61","LT51760362010031MOR00"
"62","LT51760362010015MOR00"
"63","LT51760362009348MOR00"
"64","LT51760362009332MOR00"
"65","LT51760362009316MOR00"
"66","LT51760362009300MOR00"
"67","LT51760362009284MOR00"
"68","LT51760362009268MOR00"
"69","LT51760362009252MOR00"
"70","LT51760362009236MOR00"
"71","LT51760362009220MOR00"
"72","LT51760362009204MOR00"
"73","LT51760362009188MOR00"
"74","LT51760362009172MOR00"
"75","LT51760362009156MOR00"
"76","LT51760362009140MOR00"
"77","LT51760362009124MOR00"
"78","LT51760362007247MOR00"
"79","LT51760362007151MOR00"
"80","LT51760362007135MOR00"
"81","LT51760362006260MOR00"
"82","LT51760362006244MOR00"
"83","LT51760362003284MTI01"
"84","LT51760362003268MTI01"
"85","LT51760362003252MTI01"
"86","LT51760362003220MTI01"
"87","LT51760362003204MTI01"
"88","LT51760362003188MTI01"
"89","LT51760362002169MTI00"
"90","LT51760362002137MTI00"
"91","LT51760362000260AAA02"
"92","LT51760362000228XXX04"
"93","LT51760362000212XXX02"
"94","LT51760362000132XXX01"
"95","LT51760362000100XXX02"
"96","LT51760362000084XXX02"
"97","LT51760362000052XXX03"
"98","LT51760362000036AAA02"
"99","LT51760362000004XXX02"
"100","LT51760361999225AAA02"
"101","LT51760361999081XXX01"
"102","LT51760361999033XXX02"
"103","LT51760361999017XXX02"
"104","LT51760361998302XXX01"
"105","LT51760361998286AAA01"
"106","LT51760361998254XXX02"
"107","LT51760361998238XXX01"
"108","LT51760361998158AAA01"
"109","LT51760361998110AAA01"
"110","LT41760361990224XXX03"
"111","LT51760361990216XXX03"
"112","LT41760361990128XXX03"
"113","LT41760361989365XXX02"
"114","LT41760361989349XXX02"
"115","LT41760361989221XXX02"
"116","LT41760361988331AAA03"
"117","LT41760361988299AAA03"
"118","LT41760361988011XXX03"
"119","LT41760361987344XXX01"
"120","LT51760361987288XXX03"
"121","LT51760361987272AAA02"
"122","LT51760361987256XXX02"
"123","LT51760361987240XXX02"
"124","LT51760361987224XXX02"
"125","LT51760361987208AAA02"
"126","LT51760361987192AAA02"
"127","LT51760361987176XXX03"
"128","LT51760361987160XXX03"
"129","LT51760361987144XXX02"
"130","LT51760361987128XXX02"
"131","LT51760361987112AAA02"
"132","LT51760361987096XXX03"
"133","LT51760361987032XXX01"
"134","LT51760361986349XXX02"
"135","LT51760361986333XXX01"
"136","LT51760361986317XXX03"
"137","LT51760361985170AAA03"
"138","LT51760361984296XXX02"
"139","LT51760361984248XXX02"
"140","LT51760361984216AAA07"
"141","LT51760361984200AAA02"
"142","LT51760361984184XXX09"
"143","LE71760362016200SG100"
"144","LE71760362016168SG100"
"145","LE71760362016152SG100"
"146","LE71760362016120SG100"
"147","LE71760362016104SG100"
"148","LE71760362016088SG100"
"149","LE71760362016072SG100"
"150","LE71760362016056SG100"
"151","LE71760362016040SG100"
"152","LE71760362016024SG100"
"153","LE71760362016008NPA00"
"154","LE71760362015357NPA00"
"155","LE71760362015341NPA00"
"156","LE71760362015325SG100"
"157","LE71760362015309SG100"
"158","LE71760362015293SG100"
"159","LE71760362015277SG100"
"160","LE71760362015245SG100"
"161","LE71760362015229SG101"
"162","LE71760362015197SG100"
"163","LE71760362015181SG100"
"164","LE71760362015165ASN00"
"165","LE71760362015149SG100"
"166","LE71760362015133SG100"
"167","LE71760362015117SG100"
"168","LE71760362015101SG100"
"169","LE71760362015085SG100"
"170","LE71760362015069ASN00"
"171","LE71760362015037ASN00"
"172","LE71760362015021SG101"
"173","LE71760362015005SG100"
"174","LE71760362014354SG100"
"175","LE71760362014338SG100"
"176","LE71760362014322SG100"
"177","LE71760362014306SG100"
"178","LE71760362014258SG100"
"179","LE71760362014242SG100"
"180","LE71760362014226SG100"
"181","LE71760362014210SG100"
"182","LE71760362014194SG100"
