Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81760362016240LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160827075731_20160827084229.01,LT8BPF20160818203550_20160818225656.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/27,2016:240:08:22:33.5316990,2016:240:08:23:05.3016960,9,5.65,58.38609545,136.40418438,5.264,5.079,213,4,Y,LPGS_2.6.2,34°36'38.95"N,33°07'23.81"E,35°39'46.73"N,32°20'38.87"E,35°16'17.47"N,34°23'15.76"E,33°32'40.81"N,33°52'43.10"E,33°56'08.02"N,31°52'37.67"E,34.61082,33.12328,35.66298,32.34413,35.27152,34.38771,33.54467,33.87864,33.93556,31.87713,LC81760362016240LGN00,LC81760362016240LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016240LGN00
LC81760362016224LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160811075723_20160811084222.01,LT8BPF20160803085042_20160818203550.01,L8CPF20160701_20160930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/08/11,2016:224:08:22:25.9553240,2016:224:08:22:57.7253210,9,.82,61.90806255,128.38929059,5.357,5.417,287,4,Y,LPGS_2.6.2,34°36'38.48"N,33°08'14.03"E,35°39'46.51"N,32°21'29.45"E,35°16'17.33"N,34°24'05.51"E,33°32'40.45"N,33°53'32.64"E,33°56'07.66"N,31°53'28.03"E,34.61069,33.13723,35.66292,32.35818,35.27148,34.40153,33.54457,33.8924,33.93546,31.89112,LC81760362016224LGN00,LC81760362016224LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016224LGN00
LC81760362016208LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160726075721_20160726084220.02,LT8BPF20160720133144_20160803080806.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/26,2016:208:08:22:24.2456410,2016:208:08:22:56.0156380,9,4.15,64.64045268,121.21637702,5.174,5.214,275,4,Y,LPGS_2.6.2,34°36'38.92"N,33°07'23.56"E,35°39'46.84"N,32°20'39.12"E,35°16'17.47"N,34°23'15.32"E,33°32'40.70"N,33°52'42.35"E,33°56'08.05"N,31°52'37.63"E,34.61081,33.12321,35.66301,32.3442,35.27152,34.38759,33.54464,33.87843,33.93557,31.87712,LC81760362016208LGN00,LC81760362016208LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016208LGN00
LC81760362016192LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160710075716_20160710084215.01,LT8BPF20160707085159_20160720111055.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/10,2016:192:08:22:19.3810690,2016:192:08:22:51.1510660,9,2.14,66.63491011,116.23625442,5.32,5.469,268,4,Y,LPGS_2.6.2,34°36'38.20"N,33°07'10.70"E,35°39'46.08"N,32°20'26.09"E,35°16'16.46"N,34°23'02.72"E,33°32'39.91"N,33°52'29.57"E,33°56'07.48"N,31°52'24.42"E,34.61061,33.11964,35.6628,32.34058,35.27124,34.38409,33.54442,33.87488,33.93541,31.87345,LC81760362016192LGN00,LC81760362016192LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016192LGN00
LC81760362016176LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160624075708_20160624084207.01,LT8BPF20160620195437_20160707083823.01,L8CPF20160401_20160630.04,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/24,2016:176:08:22:11.0277010,2016:176:08:22:42.7976980,9,3.44,67.8933087,114.65132937,5.389,5.579,269,4,Y,LPGS_2.6.2,34°36'39.06"N,33°07'41.77"E,35°39'46.98"N,32°20'57.08"E,35°16'17.18"N,34°23'34.15"E,33°32'40.74"N,33°53'00.85"E,33°56'08.52"N,31°52'55.27"E,34.61085,33.12827,35.66305,32.34919,35.27144,34.39282,33.54465,33.88357,33.9357,31.88202,LC81760362016176LGN00,LC81760362016176LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016176LGN00
LC81760362016160LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160608075702_20160608084201.01,LT8BPF20160606063351_20160620173313.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/08,2016:160:08:22:05.2888650,2016:160:08:22:37.0588620,9,2.18,68.19918856,116.92602771,5.305,5.261,277,4,Y,LPGS_2.6.2,34°36'38.74"N,33°07'27.59"E,35°39'46.80"N,32°20'42.94"E,35°16'16.86"N,34°23'20.00"E,33°32'40.49"N,33°52'46.60"E,33°56'08.38"N,31°52'41.02"E,34.61076,33.12433,35.663,32.34526,35.27135,34.38889,33.54458,33.87961,33.93566,31.87806,LC81760362016160LGN00,LC81760362016160LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016160LGN00
LC81760362016144LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160523075658_20160523084157.02,LT8BPF20160522121054_20160606055146.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/23,2016:144:08:22:00.9750420,2016:144:08:22:32.7450390,9,23.19,67.19040065,122.27950152,6.19,5.791,142,4,Y,LPGS_2.6.2,34°36'38.95"N,33°06'46.01"E,35°39'47.12"N,32°20'01.39"E,35°16'17.08"N,34°22'38.42"E,33°32'40.56"N,33°52'04.84"E,33°56'08.63"N,31°51'59.26"E,34.61082,33.11278,35.66309,32.33372,35.27141,34.37734,33.5446,33.86801,33.93573,31.86646,LC81760362016144LGN00,LC81760362016144LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016144LGN00
LC81760362016128LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160507075656_20160507084155.01,LT8BPF20160507073845_20160522095010.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/07,2016:128:08:21:59.4881960,2016:128:08:22:31.2581930,9,13.12,64.5820581,128.76698706,5.575,4.924,137,4,Y,LPGS_2.6.2,34°36'38.05"N,33°05'15.47"E,35°39'46.33"N,32°18'32.00"E,35°16'16.46"N,34°21'07.13"E,33°32'39.48"N,33°50'33.25"E,33°56'07.33"N,31°50'29.58"E,34.61057,33.08763,35.66287,32.30889,35.27124,34.35198,33.5443,33.84257,33.93537,31.84155,LC81760362016128LGN00,LC81760362016128LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016128LGN00
LC81760362016112LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160421075653_20160421084152.02,LT8BPF20160408000419_20160422175416.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/04/21,2016:112:08:21:56.3884110,2016:112:08:22:28.1584070,9,65.04,60.44812187,134.66817497,5.562,5.042,241,4,Y,LPGS_2.6.2,34°36'38.34"N,33°05'33.79"E,35°39'44.68"N,32°18'46.84"E,35°16'19.52"N,34°21'23.11"E,33°32'41.50"N,33°50'54.96"E,33°56'04.78"N,31°50'50.21"E,34.61065,33.09272,35.66241,32.31301,35.27209,34.35642,33.54486,33.8486,33.93466,31.84728,LC81760362016112LGN00,LC81760362016112LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016112LGN00
LC81760362016096LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160405075659_20160405085245.02,LT8BPF20160324055900_20160407213750.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/04/05,2016:096:08:22:02.4936550,2016:096:08:22:34.2636510,9,3.12,55.16914578,139.3708792,5.027,4.23,334,4,Y,LPGS_2.6.2,34°36'38.34"N,33°06'13.14"E,35°39'44.71"N,32°19'26.08"E,35°16'19.16"N,34°22'02.96"E,33°32'41.50"N,33°51'34.49"E,33°56'05.17"N,31°51'29.16"E,34.61065,33.10365,35.66242,32.32391,35.27199,34.36749,33.54486,33.85958,33.93477,31.8581,LC81760362016096LGN00,LC81760362016096LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016096LGN00
