Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE71760362016216SG100,BUMPER,SG1,DAY, 176, 036,2016/08/03,2016:216:08:25:03.6713124,2016:216:08:25:30.4254374, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,63.81128693,125.58789825,34°36'22.39"N,33°07'29.60"E,35°33'08.60"N,32°18'50.98"E,35°15'05.51"N,34°23'12.98"E,33°56'42.79"N,31°52'52.82"E,33°39'00.32"N,33°54'54.00"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-12.229956,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56955   (35°34'10.38"N),  31.77286  (31°46'22.30"E), 35.56694   (35°34'00.98"N),  34.46103  (34°27'39.71"E), 33.64644   (33°38'47.18"N),  31.80084   (31°48'03.02"E), 33.64401   (33°38'38.44"N),  34.42772   (34°25'39.79"E),14221,16241,7111,8121,7111,8121,,,69,5.684,4.721,3.165,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60622,33.12489,35.55239,32.31416,35.25153,34.38694,33.94522,31.88134,33.65009,33.915,LE71760362016216SG100,LE71760362016216SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016216SG100
LE71760362016200SG100,BUMPER,SG1,DAY, 176, 036,2016/07/18,2016:200:08:25:01.0944999,2016:200:08:25:27.8485000, 9, 9,   0.26,   0.21,   0.07,   0.40,   0.37,66.20199585,119.31118011,34°36'22.18"N,33°07'40.40"E,35°33'11.02"N,32°19'03.14"E,35°15'07.42"N,34°23'26.92"E,33°56'45.06"N,31°53'04.06"E,33°39'02.09"N,33°55'07.00"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-7.999086,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56955   (35°34'10.38"N),  31.77286  (31°46'22.30"E), 35.56690   (35°34'00.84"N),  34.46434  (34°27'51.62"E), 33.64644   (33°38'47.18"N),  31.80084   (31°48'03.02"E), 33.64398   (33°38'38.33"N),  34.43096   (34°25'51.46"E),14221,16261,7111,8131,7111,8131,,,50,4.719,3.355,3.319,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60616,33.12789,35.55306,32.31754,35.25206,34.39081,33.94585,31.88446,33.65058,33.91861,LE71760362016200SG100,LE71760362016200SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016200SG100
LE71760362016168SG100,BUMPER,SG1,DAY, 176, 036,2016/06/16,2016:168:08:24:59.8927500,2016:168:08:25:26.6467499, 9, 9,   0.11,   0.31,   0.03,   0.02,   0.08,68.68339539,116.28158569,34°36'21.71"N,33°06'40.90"E,35°33'09.97"N,32°18'03.13"E,35°15'06.73"N,34°22'24.67"E,33°56'43.55"N,31°52'04.40"E,33°39'00.72"N,33°54'05.22"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,14.608019,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56938   (35°34'09.77"N),  31.75631  (31°45'22.72"E), 35.56710   (35°34'01.56"N),  34.44779  (34°26'52.04"E), 33.64628   (33°38'46.61"N),  31.78466   (31°47'04.78"E), 33.64416   (33°38'38.98"N),  34.41479   (34°24'53.24"E),14221,16261,7111,8131,7111,8131,,,51,4.471,3.056,3.264,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60603,33.11136,35.55277,32.30087,35.25187,34.37352,33.94543,31.86789,33.6502,33.90145,LE71760362016168SG100,LE71760362016168SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016168SG100
LE71760362016152SG100,BUMPER,SG1,DAY, 176, 036,2016/05/31,2016:152:08:24:56.3311874,2016:152:08:25:23.0852500, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,68.37236023,120.3719101,34°36'21.89"N,33°06'45.94"E,35°33'13.68"N,32°18'09.43"E,35°15'10.44"N,34°22'28.85"E,33°56'46.00"N,31°52'10.27"E,33°39'03.38"N,33°54'09.00"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-14.370835,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56942   (35°34'09.91"N),  31.75962  (31°45'34.63"E), 35.56710   (35°34'01.56"N),  34.44779  (34°26'52.04"E), 33.64631   (33°38'46.72"N),  31.78790   (31°47'16.44"E), 33.64416   (33°38'38.98"N),  34.41479   (34°24'53.24"E),14221,16241,7111,8121,7111,8121,,,75,4.45,2.997,3.29,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60608,33.11276,35.5538,32.30262,35.2529,34.37468,33.94611,31.86952,33.65094,33.9025,LE71760362016152SG100,LE71760362016152SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016152SG100
LE71760362016120SG100,BUMPER,SG1,DAY, 176, 036,2016/04/29,2016:120:08:24:48.3454999,2016:120:08:25:15.0994999, 9, 9,   0.02,   0.04,   0.05,   0.00,   0.01,63.12733841,133.00160217,34°36'21.06"N,33°06'48.28"E,35°33'21.60"N,32°18'17.39"E,35°15'18.29"N,34°22'36.08"E,33°56'54.06"N,31°52'14.81"E,33°39'11.56"N,33°54'12.74"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,11.13655,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57489   (35°34'29.60"N),  31.76616  (31°45'58.18"E), 35.57243   (35°34'20.75"N),  34.45451  (34°27'16.24"E), 33.64367   (33°38'37.21"N),  31.79441   (31°47'39.88"E), 33.64138   (33°38'28.97"N),  34.42121   (34°25'16.36"E),14281,16241,7141,8121,7141,8121,,,80,4.669,3.137,3.458,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60585,33.11341,35.556,32.30483,35.25508,34.37669,33.94835,31.87078,33.65321,33.90354,LE71760362016120SG100,LE71760362016120SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016120SG100
LE71760362016104SG100,BUMPER,SG1,DAY, 176, 036,2016/04/13,2016:104:08:24:41.6902500,2016:104:08:25:08.4441875, 9, 9,  23.84,  27.49,  31.00,   5.74,  31.14,58.31000137,138.21231079,34°36'20.27"N,33°07'22.66"E,35°33'11.27"N,32°18'47.34"E,35°15'07.27"N,34°23'08.16"E,33°56'44.77"N,31°52'44.65"E,33°39'01.48"N,33°54'44.64"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-11.242233,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56948   (35°34'10.13"N),  31.76624  (31°45'58.46"E), 35.56698   (35°34'01.13"N),  34.45772  (34°27'27.79"E), 33.64638   (33°38'46.97"N),  31.79437   (31°47'39.73"E), 33.64405   (33°38'38.58"N),  34.42449   (34°25'28.16"E),14221,16261,7111,8131,7111,8131,,,24,4.3,2.908,3.168,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60563,33.12296,35.55313,32.31315,35.25202,34.3856,33.94577,31.87907,33.65041,33.9124,LE71760362016104SG100,LE71760362016104SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016104SG100
LE71760362016088SG100,BUMPER,SG1,DAY, 176, 036,2016/03/28,2016:088:08:24:35.9534374,2016:088:08:25:02.7074999, 9, 9,  29.76,  35.72,  48.84,  18.41,  16.06,52.57958984,142.17340088,34°36'20.23"N,33°07'26.36"E,35°33'17.21"N,32°18'50.62"E,35°15'12.42"N,34°23'13.24"E,33°56'51.97"N,31°52'50.63"E,33°39'08.17"N,33°54'52.52"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,13.033914,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57229   (35°34'20.24"N),  31.77613  (31°46'34.07"E), 35.56961   (35°34'10.60"N),  34.46439  (34°27'51.80"E), 33.64377   (33°38'37.57"N),  31.80411   (31°48'14.80"E), 33.64127   (33°38'28.57"N),  34.43091   (34°25'51.28"E),14261,16241,7131,8121,7131,8121,,,53,4.097,2.409,3.314,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60562,33.12399,35.55478,32.31406,35.25345,34.38701,33.94777,31.88073,33.65227,33.91459,LE71760362016088SG100,LE71760362016088SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016088SG100
LE71760362016072SG100,BUMPER,SG1,DAY, 176, 036,2016/03/12,2016:072:08:24:30.9223124,2016:072:08:24:57.6764374, 9, 9,   0.65,   1.54,   1.01,   0.05,   0.01,46.48994827,145.31156921,34°36'18.86"N,33°07'09.01"E,35°33'11.70"N,32°18'33.73"E,35°15'06.73"N,34°22'57.29"E,33°56'45.35"N,31°52'29.42"E,33°39'01.22"N,33°54'32.22"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-14.449853,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56945   (35°34'10.02"N),  31.76293  (31°45'46.55"E), 35.56702   (35°34'01.27"N),  34.45441  (34°27'15.88"E), 33.64635   (33°38'46.86"N),  31.79113   (31°47'28.07"E), 33.64409   (33°38'38.72"N),  34.42126   (34°25'16.54"E),14221,16261,7111,8131,7111,8131,,,187,3.766,2.47,2.843,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60524,33.11917,35.55325,32.30937,35.25187,34.38258,33.94593,31.87484,33.65034,33.90895,LE71760362016072SG100,LE71760362016072SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016072SG100
LE71760362016056SG100,BUMPER,SG1,DAY, 176, 036,2016/02/25,2016:056:08:24:20.0349999,2016:056:08:24:46.7890000, 9, 9,  22.48,  23.63,  23.76,  21.00,  21.54,40.60202789,148.08059692,34°36'17.46"N,33°08'03.77"E,35°33'14.51"N,32°19'30.22"E,35°15'09.04"N,34°23'52.66"E,33°56'48.52"N,31°53'27.56"E,33°39'04.07"N,33°55'29.39"E,N,L,L,L,H,L,L,H,L,L,Y,NOMINAL,DE,14.302556,LL,LL,LL,HH,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57239   (35°34'20.60"N),  31.78606  (31°47'09.82"E), 35.56949   (35°34'10.16"N),  34.47432  (34°28'27.55"E), 33.64116   (33°38'28.18"N),  31.81385   (31°48'49.86"E), 33.63845   (33°38'18.42"N),  34.44057   (34°26'26.05"E),14281,16241,7141,8121,7141,8121,,,178,3.439,2.118,2.709,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60485,33.13438,35.55403,32.32506,35.25251,34.39796,33.94681,31.89099,33.65113,33.92483,LE71760362016056SG100,LE71760362016056SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016056SG100
LE71760362016040SG100,BUMPER,SG1,DAY, 176, 036,2016/02/09,2016:040:08:24:18.1228749,2016:040:08:24:44.8769375, 9, 9,  51.14,  21.63,  31.52,  67.38,  84.00,35.45670319,150.776474,34°36'16.96"N,33°06'29.23"E,35°33'06.73"N,32°17'54.56"E,35°15'01.66"N,34°22'14.12"E,33°56'39.91"N,31°51'50.54"E,33°38'55.39"N,33°53'49.42"E,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,8.233075,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56935   (35°34'09.66"N),  31.75300  (31°45'10.80"E), 35.56714   (35°34'01.70"N),  34.44448  (34°26'40.13"E), 33.64355   (33°38'36.78"N),  31.78147   (31°46'53.29"E), 33.64149   (33°38'29.36"N),  34.41151   (34°24'41.44"E),14241,16261,7121,8131,7121,8131,,,124,3.272,1.831,2.712,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60471,33.10812,35.55187,32.29849,35.25046,34.37059,33.94442,31.86404,33.64872,33.89706,LE71760362016040SG100,LE71760362016040SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362016040SG100
