Landsat Scene Identifier,Spacecraft Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,WRS Type,Date Acquired,Start Time,Stop Time,Sensor Anomalies,Acquisition Quality,Quality Band 1,Quality Band 2,Quality Band 3,Quality Band 4,Quality Band 5,Quality Band 6,Quality Band 7,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Browse  Exists,Data Category,Map Projection LORa,Data Type L0Rp,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Reflective Samples,Reflective Lines,Thermal Lines,Thermal Samples,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Geometric RMSE Verify,Map Projection Level 1,Datum,Ellipsoid,UTM Zone,Vertical Long from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LT51760362011306MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/11/02,2011:306:08:10:14.49719,2011:306:08:10:41.11006,N,9,9,9,9,9,9,9,9,32.01,64.47,38.26,21.76,3.54,37.11033985,155.25324226, 34.62231   (34°37'20.32"N),  33.09759   (33°05'51.32"E), 35.55389   (35°33'14.00"N),  32.31813  (32°19'05.27"E), 35.26207   (35°15'43.45"N),  34.32334   (34°19'24.02"E), 33.97145   (33°58'17.22"N),  31.88974   (31°53'23.06"E), 33.68498 (33°41'05.93"N),  33.85863   (33°51'31.07"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56685   (35°34'00.66"N),  31.77290   (31°46'22.44"N), 35.56472   (35°33'52.99"N),  34.42127   (34°25'16.57"N), 33.64644   (33°38'47.18"N),  31.80084  (31°48'03.02"E), 33.64445   (33°38'40.02"N),  34.38891   (34°23'20.08"N),8001,7101,7101,8001,56,4.322,2.695,3.379,.145,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62231,33.09759,35.55389,32.31813,35.26207,34.32334,33.97145,31.88974,33.68498,33.85863,LT51760362011306MOR00,LT51760362011306MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011306MOR00
LT51760362011290MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/10/17,2011:290:08:10:27.30088,2011:290:08:10:53.91369,N,9,9,9,9,9,9,9,9,1.83,3.74,.32,2.37,.89,42.06807227,152.09763405, 34.61665   (34°36'59.94"N),  33.10370   (33°06'13.32"E), 35.54822   (35°32'53.59"N),  32.32429  (32°19'27.44"E), 35.25642   (35°15'23.11"N),  34.32936   (34°19'45.70"E), 33.96578   (33°57'56.81"N),  31.89594   (31°53'45.38"E), 33.67933 (33°40'45.59"N),  33.86470   (33°51'52.92"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56411   (35°33'50.80"N),  31.76963   (31°46'10.67"N), 35.56205   (35°33'43.38"N),  34.41791   (34°25'04.48"N), 33.64370   (33°38'37.32"N),  31.79764  (31°47'51.50"E), 33.64179   (33°38'30.44"N),  34.38564   (34°23'08.30"N),8001,7101,7101,8001,137,4.164,2.775,3.105,.121,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61665,33.1037,35.54822,32.32429,35.25642,34.32936,33.96578,31.89594,33.67933,33.8647,LT51760362011290MOR00,LT51760362011290MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011290MOR00
LT51760362011274MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/10/01,2011:274:08:10:38.45769,2011:274:08:11:05.07063,N,9,9,9,9,9,9,9,9,1.06,.88,.33,3.05,0,47.14882266,147.2072836, 34.61226   (34°36'44.14"N),  33.11277   (33°06'45.97"E), 35.54383   (35°32'37.79"N),  32.33339  (32°20'00.20"E), 35.25204   (35°15'07.34"N),  34.33836   (34°20'18.10"E), 33.96138   (33°57'40.97"N),  31.90507   (31°54'18.25"E), 33.67495 (33°40'29.82"N),  33.87374   (33°52'25.46"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.55610   (35°33'21.96"N),  31.77968   (31°46'46.85"N), 35.55382   (35°33'13.75"N),  34.42769   (34°25'39.68"N), 33.63568   (33°38'08.45"N),  31.80745  (31°48'26.82"E), 33.63356   (33°38'00.82"N),  34.39521   (34°23'42.76"N),8001,7101,7101,8001,151,4.088,2.75,3.025,.132,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61226,33.11277,35.54383,32.33339,35.25204,34.33836,33.96138,31.90507,33.67495,33.87374,LT51760362011274MOR00,LT51760362011274MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011274MOR00
LT51760362011242MOR01,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/08/30,2011:242:08:11:09.00344,2011:242:08:11:35.61638,N,9,9,9,9,9,9,9,9,11.55,24.75,3.65,6.18,11.62,56.15503184,133.24328469, 34.62396   (34°37'26.26"N),  33.08821   (33°05'17.56"E), 35.55554   (35°33'19.94"N),  32.30874  (32°18'31.46"E), 35.26371   (35°15'49.36"N),  34.31399   (34°18'50.36"E), 33.97310   (33°58'23.16"N),  31.88034   (31°52'49.22"E), 33.68663 (33°41'11.87"N),  33.84926   (33°50'57.34"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57219   (35°34'19.88"N),  31.76620   (31°45'58.32"N), 35.57032   (35°34'13.15"N),  34.40481   (34°24'17.32"N), 33.65179   (33°39'06.44"N),  31.79429  (31°47'39.44"E), 33.65005   (33°39'00.18"N),  34.37283   (34°22'22.19"N),7971,7101,7101,7971,57,4.348,3.271,2.864,.209,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62396,33.08821,35.55554,32.30874,35.26371,34.31399,33.9731,31.88034,33.68663,33.84926,LT51760362011242MOR01,LT51760362011242MOR01,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011242MOR01
LT51760362011210MOR01,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/07/29,2011:210:08:11:26.66125,2011:210:08:11:53.27425,N,9,9,9,9,9,9,9,9,0,0,0,0,0,62.32099883,118.23045315, 34.62101   (34°37'15.64"N),  33.09579   (33°05'44.84"E), 35.55259   (35°33'09.32"N),  32.31634  (32°18'58.82"E), 35.26077   (35°15'38.77"N),  34.32152   (34°19'17.47"E), 33.97015   (33°58'12.54"N),  31.88796   (31°53'16.66"E), 33.68368 (33°41'01.25"N),  33.85682   (33°51'24.55"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57222   (35°34'19.99"N),  31.76951   (31°46'10.24"N), 35.57024   (35°34'12.86"N),  34.41143   (34°24'41.15"N), 33.65182   (33°39'06.55"N),  31.79753  (31°47'51.11"E), 33.64997   (33°38'59.89"N),  34.37930   (34°22'45.48"N),7981,7101,7101,7981,129,4.627,3.438,3.096,.186,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62101,33.09579,35.55259,32.31634,35.26077,34.32152,33.97015,31.88796,33.68368,33.85682,LT51760362011210MOR01,LT51760362011210MOR01,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011210MOR01
LT51760362011194MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/07/13,2011:194:08:11:35.78006,2011:194:08:12:02.39294,N,7,7,7,7,7,7,7,7,.14,.19,.11,.09,.15,64.36658057,113.13646702, 34.61977   (34°37'11.17"N),  33.09263   (33°05'33.47"E), 35.55135   (35°33'04.86"N),  32.31319  (32°18'47.48"E), 35.25953   (35°15'34.31"N),  34.31834   (34°19'06.02"E), 33.96891   (33°58'08.08"N),  31.88482   (31°53'05.35"E), 33.68245 (33°40'56.82"N),  33.85365   (33°51'13.14"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57219   (35°34'19.88"N),  31.76620   (31°45'58.32"N), 35.57024   (35°34'12.86"N),  34.41143   (34°24'41.15"N), 33.64908   (33°38'56.69"N),  31.79433  (31°47'39.59"E), 33.64727   (33°38'50.17"N),  34.37925   (34°22'45.30"N),7991,7111,7111,7991,123,4.547,3.359,3.064,.234,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61977,33.09263,35.55135,32.31319,35.25953,34.31834,33.96891,31.88482,33.68245,33.85365,LT51760362011194MOR00,LT51760362011194MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011194MOR00
LT51760362011114MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/04/24,2011:114:08:12:06.74681,2011:114:08:12:33.35969,N,9,9,9,9,9,9,9,9,35.02,30.32,10.58,64.99,34.2,59.58538206,130.13620755, 34.61559   (34°36'56.12"N),  33.10561   (33°06'20.20"E), 35.54716   (35°32'49.78"N),  32.32621  (32°19'34.36"E), 35.25536   (35°15'19.30"N),  34.33125   (34°19'52.50"E), 33.96472   (33°57'52.99"N),  31.89786   (31°53'52.30"E), 33.67827 (33°40'41.77"N),  33.86660   (33°51'59.76"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56962   (35°34'10.63"N),  31.77948   (31°46'46.13"N), 35.56750   (35°34'03.00"N),  34.41470   (34°24'52.92"N), 33.64650   (33°38'47.40"N),  31.80731  (31°48'26.32"E), 33.64453   (33°38'40.31"N),  34.38245   (34°22'56.82"N),7961,7111,7111,7961,63,4.453,3.152,3.146,.158,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61559,33.10561,35.54716,32.32621,35.25536,34.33125,33.96472,31.89786,33.67827,33.8666,LT51760362011114MOR00,LT51760362011114MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011114MOR00
LT51760362011098MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/04/08,2011:098:08:12:14.64750,2011:098:08:12:41.26031,N,9,9,9,9,9,9,9,9,16.83,10.01,2.95,22.74,31.61,54.55980927,135.25116461, 34.62277   (34°37'21.97"N),  33.09637   (33°05'46.93"E), 35.55435   (35°33'15.66"N),  32.31691  (32°19'00.88"E), 35.26253   (35°15'45.11"N),  34.32213   (34°19'19.67"E), 33.97191   (33°58'18.88"N),  31.88852   (31°53'18.67"E), 33.68544 (33°41'07.58"N),  33.85741   (33°51'26.68"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.55863   (35°33'31.07"N),  31.76310   (31°45'47.16"N), 35.55680   (35°33'24.48"N),  34.40458   (34°24'16.49"N), 33.64094   (33°38'27.38"N),  31.79121  (31°47'28.36"E), 33.63923   (33°38'21.23"N),  34.37266   (34°22'21.58"N),7981,7091,7091,7981,131,4.341,3.105,3.033,.143,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62277,33.09637,35.55435,32.31691,35.26253,34.32213,33.97191,31.88852,33.68544,33.85741,LT51760362011098MOR00,LT51760362011098MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011098MOR00
LT51760362011066MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/03/07,2011:066:08:12:22.76725,2011:066:08:12:49.38006,N,9,9,9,9,9,9,9,9,47.73,61.15,19.75,68.92,41.12,42.83396934,142.64748303, 34.62074   (34°37'14.66"N),  33.09753   (33°05'51.11"E), 35.55232   (35°33'08.35"N),  32.31808  (32°19'05.09"E), 35.26050   (35°15'37.80"N),  34.32325   (34°19'23.70"E), 33.96988   (33°58'11.57"N),  31.88971   (31°53'22.96"E), 33.68341 (33°41'00.28"N),  33.85856   (33°51'30.82"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56414   (35°33'50.90"N),  31.77294   (31°46'22.58"N), 35.56201   (35°33'43.24"N),  34.42122   (34°25'16.39"N), 33.64644   (33°38'47.18"N),  31.80084  (31°48'03.02"E), 33.64445   (33°38'40.02"N),  34.38891   (34°23'20.08"N),8001,7091,7091,8001,103,4.637,3.087,3.46,.145,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62074,33.09753,35.55232,32.31808,35.2605,34.32325,33.96988,31.88971,33.68341,33.85856,LT51760362011066MOR00,LT51760362011066MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011066MOR00
LT51760362011050MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/02/19,2011:050:08:12:24.80031,2011:050:08:12:51.41319,N,9,9,9,9,9,9,9,9,29.31,62.18,42.08,10.71,2.28,37.27598722,145.70150259, 34.62072   (34°37'14.59"N),  33.09990   (33°05'59.64"E), 35.55230   (35°33'08.28"N),  32.32046  (32°19'13.66"E), 35.26048   (35°15'37.73"N),  34.32562   (34°19'32.23"E), 33.96986   (33°58'11.50"N),  31.89208   (31°53'31.49"E), 33.68339 (33°41'00.20"N),  33.86093   (33°51'39.35"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56955   (35°34'10.38"N),  31.77286   (31°46'22.30"N), 35.56742   (35°34'02.71"N),  34.42132   (34°25'16.75"N), 33.64915   (33°38'56.94"N),  31.80080  (31°48'02.88"E), 33.64716   (33°38'49.78"N),  34.38896   (34°23'20.26"N),8001,7101,7101,8001,122,4.387,2.672,3.479,.165,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62072,33.0999,35.5523,32.32046,35.26048,34.32562,33.96986,31.89208,33.68339,33.86093,LT51760362011050MOR00,LT51760362011050MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011050MOR00
